###wordnet_hockey_team_108080386
Dinamo_Riga_(original)	isAffiliatedTo	Dinamo_Riga
Peoria_Rivermen_(IHL)	isAffiliatedTo	Peoria_Rivermen_(AHL)
###wordnet_country_108544813
Zambia	dealsWith	India
Rwanda	dealsWith	India
Somalia	dealsWith	Djibouti
Libya	dealsWith	Tunisia
Indonesia	dealsWith	Netherlands
Bahrain	dealsWith	China
Sweden	hasNeighbor	Finland
Qatar	dealsWith	Saudi_Arabia
Croatia	hasNeighbor	Hungary
Republic_of_the_Congo	dealsWith	Brazil
Togo	dealsWith	Lebanon
Eritrea	dealsWith	Saudi_Arabia
Wales	dealsWith	Germany
Sri_Lanka	dealsWith	United_Arab_Emirates
Republic_of_Macedonia	dealsWith	Kosovo
Holy_Roman_Empire	hasCapital	Regensburg
Armenia	dealsWith	United_States
Turkey	dealsWith	Russia
Macau	dealsWith	Sudan
Uruguay	hasNeighbor	Cabeça_do_Cachorro
Uganda	hasNeighbor	Tanzania
Haiti	dealsWith	United_States
Mauritius	dealsWith	United_States
Saudi_Arabia	dealsWith	South_Korea
Honduras	hasNeighbor	Guatemala
Zimbabwe	dealsWith	Democratic_Republic_of_the_Congo
Belgium	dealsWith	Italy
Suriname	dealsWith	Guyana
Syria	dealsWith	United_Arab_Emirates
Laos	hasNeighbor	Vietnam
Algeria	dealsWith	Brazil
Finland	dealsWith	United_States
Egypt	hasNeighbor	Libya
Australia	dealsWith	United_States
South_Africa	dealsWith	United_States
Uzbekistan	dealsWith	Ukraine
Bulgaria	dealsWith	Italy
Luxembourg	hasNeighbor	Collectivity_of_Saint_Martin
Germany	dealsWith	Netherlands
Japan	dealsWith	Qatar
Suriname	dealsWith	Belgium
Serbia	dealsWith	Russia
Georgia_(country)	dealsWith	Russia
Cameroon	dealsWith	France
Equatorial_Guinea	hasNeighbor	Gabon
Slovakia	hasNeighbor	Poland
Maldives	dealsWith	United_Kingdom
Rwanda	hasNeighbor	Democratic_Republic_of_the_Congo
Paraguay	dealsWith	Uruguay
Mauritania	dealsWith	Belgium
Togo	hasNeighbor	Ghana
Dominican_Republic	dealsWith	Venezuela
Albania	dealsWith	Turkey
Cameroon	dealsWith	United_States
Mozambique	hasNeighbor	Zambia
Denmark	dealsWith	United_States
Uruguay	dealsWith	United_States
Sierra_Leone	dealsWith	Turkey
Macau	dealsWith	Italy
The_Bahamas	dealsWith	Singapore
Mauritania	dealsWith	Germany
Regensburg	isLocatedIn	Germany
Colombia	dealsWith	United_States
Burundi	dealsWith	Austria
Zimbabwe	hasNeighbor	Botswana
Guatemala	dealsWith	Spain
Iraq	dealsWith	India
Vietnam	dealsWith	Malaysia
Syria	hasNeighbor	Iraq
Montenegro	dealsWith	Ottoman_Empire
Comoros	dealsWith	Turkey
Uganda	hasNeighbor	Democratic_Republic_of_the_Congo
Finland	dealsWith	United_Kingdom
El_Salvador	dealsWith	Spain
Cameroon	dealsWith	China
Guatemala	dealsWith	United_States
Finland	dealsWith	Sweden
Archduchy_of_Austria	isLocatedIn	Holy_Roman_Empire
Estonia	dealsWith	Sweden
Serbia	dealsWith	Montenegro
Iraq	hasNeighbor	Saudi_Arabia
Brazil	dealsWith	Argentina
Maldives	dealsWith	China
Liberia	dealsWith	Singapore
Wales	dealsWith	United_States
El_Salvador	dealsWith	Germany
Bangladesh	dealsWith	United_States
Algeria	hasNeighbor	Libya
Azerbaijan	dealsWith	India
Turkey	hasNeighbor	Syria
Sierra_Leone	dealsWith	Japan
Turkey	dealsWith	Iraq
Cuba	dealsWith	Canada
Canada	dealsWith	China
Vietnam	hasNeighbor	Cambodia
Democratic_Republic_of_the_Congo	dealsWith	South_Africa
Finland	hasNeighbor	Russia
Monaco	hasNeighbor	Collectivity_of_Saint_Martin
Cuba	dealsWith	United_States
Madagascar	dealsWith	India
Iraq	hasNeighbor	Iran
Bulgaria	dealsWith	France
Netherlands	dealsWith	Belgium
Belize	dealsWith	Nigeria
Papua_New_Guinea	dealsWith	Japan
Sri_Lanka	dealsWith	China
Maldives	dealsWith	Malaysia
Finland	dealsWith	China
Malta	dealsWith	Germany
Belarus	dealsWith	Netherlands
Paraguay	hasNeighbor	Argentina
Electorate_of_Brunswick-Lüneburg	isLocatedIn	Holy_Roman_Empire
Cameroon	dealsWith	Spain
Eritrea	dealsWith	South_Africa
Nicaragua	dealsWith	United_States
Spain	hasNeighbor	Portugal
Malta	dealsWith	United_Kingdom
Greece	hasNeighbor	Bulgaria
Cabeça_do_Cachorro	hasNeighbor	France
China	dealsWith	Japan
Australia	dealsWith	South_Korea
Madagascar	dealsWith	Indonesia
Uruguay	dealsWith	Germany
Moldova	dealsWith	Germany
Estonia	dealsWith	Germany
Denmark	dealsWith	Sweden
Zambia	hasNeighbor	Namibia
Afghanistan	dealsWith	Kazakhstan
Ethiopia	hasNeighbor	Djibouti
Turkey	dealsWith	Ottoman_Empire
Australia	dealsWith	Germany
Philippines	dealsWith	Hong_Kong
Latvia	dealsWith	Russia
Slovakia	dealsWith	Hungary
Czech_Republic	dealsWith	Netherlands
